Twitter handle
AK_Jim4Congress
ForrestDunbarAK
Davidseaward
DonYoungAK
TeamRoby
RepMoBrooks
Sewell4Congress
RepMikeRogersAL
BradleyByrne
LeFloreCampaign
ErickWright2014
jt4congress2014
Paul_DeMarco
Palmer4Alabama
AveryViseAL6
Robert_Aderholt
Crawford4Cong
rep_stevewomack
JackieMacAR
PatHenryHays
ElectFrench
WestermanAR
jamesleewittAR
Gosar4Congress
Andy_Tobin
RandyCamacho
mikelweisser 
standwithraul
SaucedoMercer
repronbarber
MarthaMcSally
kyrstensinema
salmoncongress
Kiehne4Congress
AdamKwasman
ShelleyKais4CD2
chuckwooten
RepTrentFranks
JamesSamuelson
Woods4Congress
DavidSchweikert
RubenGallego
MaryRoseWilcox
ReverendMaupin
WeThePeopleROne
AndrewWalterCD9
Ann_Kirkpatrick
olivas4congress
beraforcongress
johndennis2012
MarkDeSaulnier
JohnGaramendi
tonyamador
mikehonda17
jeffdenham
28thDistrict
markreed2014
JudyChuCampaign
RepKarenBass
darrellissa--
JuliaBrownley
RepLaMalfa
JaredHuffman
McCrayCA06
joinpaulcook
RepSwalwell
Vote4Tacherra
dgvaladao
MitchumCongress
TonyStrickland
JackOrswell
GoCardenas
Becerra4CA34
aguilarpete
RepRoybalAllard
Dr_RaulRuiz
KenCalvert
vote_ben_campos
RepLindaSanchez
RepMarkTakano
repjuanvargas
kimber4congress
scottpeterssd
Vote_Heidi
danlogue4cd3
ElectArtMoore
Hinton_2014
eggman4congress
jerrymcnerney
JudgeTuePhan
RoKhannaUSA
this_is_Dakin
BussellForUSRep
RepZoeLofgren
RepSamFarr
RobinChew1
DrFox4Congress
RepJimCosta
AmandaRenteria
maxinewaters
stephentknight
Stokes4Congress
DrPaulChabot
ElectAlas
tedlieu
Carr4Congress
AdrienneNEdwards
Norma4Congress
gagnier
BrianNestande
Adams4Congress
SheridanCA42
johnwoodca43
andywhallon
savarysue
dpeiser
drewleavens
carldemaio
larrywilske
DorisMatsui
kevinomccarthy
BradSherman
RepEdRoyce
DougOse
tommcclintock
NancyPelosi
BLeeForCongress
Eshoo2014
JackieSpeier
Rep_DevinNunes
Capps4Congress
Grace4Congress
janicehahn
danarohrabacher
rep_hunter
abeljtapia
coffmanforco
walsh4colorado
georgeleing
ed4colorado
repdlamborn
polis4congress
scottrtipton
romanoffco2014
irvhalter
donytterberg
buckforcolorado
vic4co4
rosadelauro
Debicella
